line,total_obs,zscore_anomaly_count,iforest_v5_anomaly_count,avg_iforest_v5_score,zscore_anomaly_rate,iforest_v5_anomaly_rate
KARTAL-VEYSELKARANI MAH,9977,22,141,0.4404844640281095,0.002205071664829107,0.014132504760950185
AYAZAGA KOYU-MASLAK,1487,9,21,0.42773048234046496,0.00605245460659045,0.014122394082044385
FATIH SULTAN KARAYOLLARI-SISLI,5352,125,75,0.40448729768842456,0.02335575485799701,0.014013452914798207
GAZIOSMANPASA -TAKSIM,7241,4,101,0.43585222621853276,5.524098881369977E-4,0.01394834967545919
SEYRANTEPE - TOPKAPI,8890,43,124,0.442162262247459,0.00483689538807649,0.013948256467941508
GUZELTEPE-KISIKLI METRO,2297,37,32,0.41674047126541514,0.01610796691336526,0.013931214627775359
TEPEUSTU-SILE,7896,123,109,0.44627316850461124,0.015577507598784195,0.013804457953394123
KAGITHANE-CELIKTEPE-KABATAS,6549,39,90,0.4278006282372522,0.005955107650022904,0.013742556115437472
KAVACIK-GORELE MAH-ACARKENT,3356,76,46,0.40540507705829,0.02264600715137068,0.013706793802145411
BASAKSEHIR 4-5.ETAPLAR-METROKENT (RING),585,3,8,0.4059250895340142,0.005128205128205128,0.013675213675213675
METROKENT - MECIDIYEKOY,1690,20,23,0.41518447916904055,0.011834319526627219,0.013609467455621301
ESENLER METRO - TAKSIM,2867,41,39,0.4176005433934013,0.01430066271363795,0.013603069410533658
ICMELER-KARTAL METRO,3750,56,51,0.41056345122929294,0.014933333333333333,0.0136
SULTANBEYLI M.SINAN-SAMANDIRA-USKUDAR,9414,54,128,0.4296747391470763,0.0057361376673040155,0.01359677076694285
CARSI-CAM LIMANI,1406,2,19,0.49286931626664754,0.001422475106685633,0.013513513513513514
MIMAR SINAN MAHALLESI - UMRANIYE,6523,135,88,0.41152053771351366,0.020695998773570444,0.013490725126475547
YENIDOGAN-SULTANBEYLI,5934,112,80,0.4168332250075558,0.01887428378833839,0.013481631277384564
HADIMKOY KIPTAS 3. ETAP / KELEBEKLER VADISI-BAHCESEHIR,2009,46,27,0.41110496297498117,0.022896963663514187,0.013439522150323544
SULTANBEYLI-KOZYATAGI METRO,7718,163,103,0.4111440917863154,0.021119461000259136,0.013345426276237367
EMINONU-KADIKOY,5403,13,72,0.42004516644052475,0.0024060707014621507,0.013325930038867296
ALIBEYKOY CEP OTOGARI-ISTANBUL HAVALIMANI,3904,60,52,0.4440937312288269,0.015368852459016393,0.01331967213114754
KARTAL - KAYNARCA - VELIBABA MAH.,12092,73,161,0.4434116242753594,0.006037049288785974,0.013314588157459476
KAYASEHIR-CEBECI MAHALLESI,8872,191,118,0.4141175378392731,0.021528403967538322,0.013300270513976555
KUCUKKOY-MECIDIYEKOY,3461,52,46,0.40832364027432316,0.015024559375902918,0.013290956370991043
TUZLA EMLAK KONUTLARI - UZUNCAYIR METROBUS,2936,34,39,0.4092251504404209,0.011580381471389645,0.013283378746594006
DEMOKRASI CAD-YAMANEVLER METRO,6028,108,80,0.4145331432753061,0.017916390179163903,0.013271400132714002
ATISALAN KOYICI-EMINONU,2040,31,27,0.41272263701723094,0.015196078431372549,0.013235294117647059
KARTAL-EESENKENT METRO,2500,42,33,0.4152924752533213,0.0168,0.0132
SULTANBEYLI-METRO -CEVIZLI,7990,175,105,0.41153892754619026,0.02190237797246558,0.013141426783479349
CARSI-TEPEKOY-KADIYORAN,2208,10,29,0.45713093289772694,0.004528985507246377,0.013134057971014492
ESENKENT - HUZUREVI METRO,5181,107,68,0.4140128795711501,0.020652383709708552,0.013124879366917584
U.MUMCU-SOGANLIK METRO,5974,119,78,0.4077671275287321,0.01991965182457315,0.013056578506863073
CEBECI MAH. - MECIDIYEKOY,4826,69,63,0.4148163019919816,0.014297554910899296,0.013054289266473269
HALKALI ISTASYONU-INONU MAHALLESI,1460,26,19,0.4094019518186462,0.01780821917808219,0.013013698630136987
YUNUS EMRE MAHALLESI. - SISLI,8407,9,109,0.429379927879154,0.00107053645771381,0.012965385987867253
CARSI-NARCICEGI,1389,2,18,0.4876937490911439,0.0014398848092152627,0.012958963282937365
YUNUSEMRE MAH.-BARAJ YOLU-SISLI,12672,228,164,0.4189354461416947,0.017992424242424244,0.012941919191919192
TEPEUSTU-MECIDIYEKOY,9671,115,125,0.42905310559884086,0.011891221176713887,0.012925240409471616
AKSEMSETTIN MAH. - EMINONU,6691,4,86,0.4276907472631879,5.978179644298311E-4,0.01285308623524137
ZINCIRLIDERE-SISLI,468,0,6,0.41472367562685913,0.0,0.01282051282051282
KUPLUCE-KISIKLI METRO-CUMHURIYET MAHALLESI,3677,52,47,0.4221482537532569,0.014141963557247757,0.012782159369050857
ESENEVLER-ACIBADEM METROBUS-USKUDAR,2113,32,27,0.41393809505729373,0.015144344533838144,0.012778040700425935
CIRCIR METRO - 4.LEVENT METRO,3136,43,40,0.4117703522280777,0.01371173469387755,0.012755102040816327
SULTANBEYLI-UZUNCAYIR METROBUS-HAREM,11179,232,142,0.4107416037478794,0.02075319796046158,0.012702388406834244
CUMH.MAH-KUCUK CAMLICA - USKUDAR,10319,240,131,0.40649900155457175,0.023258067642213394,0.012695028588041477
GAYRETTEPE - EMINONU,6067,92,77,0.41519758550243246,0.015164001977913302,0.01269161035107961
VEYSEL KARANI MAH.- 4.LEVENT METRO,5461,107,69,0.40324549531993786,0.01959348104742721,0.012635048525911005
TEPEKENT-AVCILAR METROBUS,5954,117,75,0.4091068958890992,0.019650655021834062,0.01259657373194491
YAVUZTURK MAHALLESI-UMRANIYE METRO,1514,23,19,0.4146497873538838,0.015191545574636724,0.012549537648612946
USKUDAR-EMINONU,10545,72,132,0.4275632251891668,0.0068278805120910386,0.01251778093883357
TOKATKOY - USKUDAR,4075,77,51,0.4040425389048502,0.018895705521472392,0.012515337423312883
