line,total_obs,zscore_anomaly_count,iforest_anomaly_count,avg_iforest_score,zscore_anomaly_rate,iforest_anomaly_rate
SULTANBEYLI DEV.HST-PENDIK METRO/YHT,5935,58,20,0.402487831210821,0.0097725358045492,0.0033698399326032
FATIH SULTAN MEHMET - KABATAS,6568,18,22,0.4118658545142581,0.0027405602923264,0.0033495736906211
ZEYTINBURNU-KAZLICESME,6425,22,21,0.4112920308930853,0.0034241245136186,0.0032684824902723
YESILTEPE-CEKMEKOY-KARTAL,6491,86,21,0.4023364443955518,0.013249114158065,0.0032352488060391
TEPEOREN-KARTAL METRO,7139,64,23,0.403942839094793,0.0089648410141476,0.0032217397394593
USKUDAR-HEKIMBASI,10060,131,32,0.4051312712211136,0.0130218687872763,0.0031809145129224
USKUDAR-BOGAZ,2851,8,9,0.4252298942107851,0.0028060329708874,0.0031567870922483
OLIMPIYATKOY METRO - SEHIR HASTANESI,3181,25,10,0.4031978758237426,0.0078591637849732,0.0031436655139893
GURPINAR- TUYAP METROBUS,955,8,3,0.4133361031656158,0.0083769633507853,0.0031413612565445
YENIBOSNA METRO-KAZLICESME,7069,45,22,0.4048727899254807,0.0063658226057433,0.0031121799405856
BOGAZKOY-BAHCESEHIR-TAKSIM,6110,27,19,0.4195108780102501,0.0044189852700491,0.0031096563011456
KEMERBURGAZ-ARNAVUTKOY,7856,70,24,0.4046202878155069,0.0089103869653767,0.0030549898167006
MEVLANA MAH.-KAYISDAGI-KADIKOY,6574,70,20,0.4041219572922253,0.0106480073014907,0.0030422878004259
HACIOSMAN METRO-SARIYER-KOC UNV.,989,0,3,0.4009703679085548,0.0,0.0030333670374115
KSS HASTANESI-ATAKENT MAH.-HALKALI ISTASYONU,6330,63,19,0.409928886201469,0.009952606635071,0.0030015797788309
IHLAS MARMARA EVLERI-ZEYTINBURNU METRO,6424,30,19,0.4019725081161633,0.0046699875466998,0.0029576587795765
BEYLIKDUZU-TAKSIM(CIFT KATLI),6444,16,19,0.4142958492835623,0.0024829298572315,0.0029484792054624
KOCAMUSTAFAPASA - BALAT,6119,36,18,0.4081091689660887,0.005883314267037,0.0029416571335185
YENISEHIR-MARMARA UNI.-KARTAL METRO/CEVIZLI PERONLAR,12584,123,37,0.4031353675073216,0.0097743165924984,0.0029402415766052
BAHCEKOY-HACIOSMAN METRO,6822,20,20,0.4120190359905659,0.0029316915860451,0.0029316915860451
CEVATPASA - BEYAZIT,8881,89,26,0.405081771626373,0.0100213939871636,0.002927598243441
ESENYURT -  KIPTAS 4.ETAP - 5.ETAP - AVCILAR METROBUS,5470,47,16,0.4031472452314744,0.0085923217550274,0.0029250457038391
GUNESLI - MAHMUTBEY METRO,692,0,2,0.4120453045453741,0.0,0.0028901734104046
YENIDOGAN-TOPKAPI KALEICI,7291,7,21,0.414002698305251,0.0009600877794541216,0.0028802633383623
KAVACIK-DERESEKI-HALAYIKDERE-A.FENERI,6309,62,18,0.3977683641225486,0.009827230939927,0.0028530670470756
PENDIK-SISLI,7032,16,20,0.4235772944719656,0.0022753128555176,0.002844141069397
